,store,category,brand,product,price,per_unit_price,units
315,Walmart,flyer,Kraft,Kraft Miracle Whip,4.97,4.97,
316,Walmart,flyer,Kraft,Kraft Dinner KD Cups,6.0,1.5,
317,Walmart,flyer,Kraft,Kraft Dinner KD Cups,6.0,1.5,
318,Walmart,flyer,St. Louis,St. Louis Bar & Grill Garlic Dill Sauce,3.97,3.97,
319,Walmart,flyer,Heinz,Heinz Mayochup,3.97,3.97,
320,Walmart,flyer,,win,,,
321,Walmart,flyer,CHRISTIE,CHRISTIE OREO Cookies,8.0,2.6666666666666665,
322,Walmart,flyer,CHRISTIE,CHRISTIE CHIPS AHOY! Cookies,8.0,2.6666666666666665,
323,Walmart,flyer,,RITZ Original Crackers 200 g,7.0,2.3333333333333335,
324,Walmart,flyer,RITZ,RITZ Bits Sandwiches 180 g,7.0,2.3333333333333335,
325,Walmart,flyer,CADBURY,CADBURY DAIRY MILK,6.0,2.0,
326,Walmart,flyer,Cadbury,Cadbury Dairy Milk,6.0,2.0,
327,Walmart,flyer,CHRISTIE,CHRISTIE Mini Cookies,7.0,2.3333333333333335,
328,Walmart,flyer,CHRISTIE,CHRISTIE Mini Cookies,7.0,2.3333333333333335,
329,Walmart,flyer,,shop,,,
330,Walmart,flyer,Clorox,Clorox Disinfecting Wipes 35s,2.47,2.47,
331,Walmart,flyer,Clorox,Clorox Disinfecting Wipes 355,2.47,2.47,
332,Walmart,flyer,Clorox,Clorox Original Bleach,2.47,0.0019448818897637797,100ml
